"recurso_id","categoria","nombre_interno","archivo_salida","bundle_origen","ancho","alto","fuente_catalogo"
"icon-74 c8 7f fa","objects-equipment","zhuangbeilingpo_icon_zq_03","zhuangbeilingpo_icon_zq_03__atlas__equipbeastsoul__8001bc86e7.png","atlas\equipbeastsoul.assetbundle","60","56","icon-catalog.csv"
"icon-09 37 ac 0b","objects-equipment","zhuangbeilingpo_icon_zq_03_hui","zhuangbeilingpo_icon_zq_03_hui__atlas__equipbeastsoul__7924a865bb.png","atlas\equipbeastsoul.assetbundle","60","56","icon-catalog.csv"
"icon-d3 f8 33 1c","objects-equipment","zhuangbeilingpo_jieshu_bg_9s","zhuangbeilingpo_jieshu_bg_9s__atlas__equipbeastsoul__c7dc7ca72b.png","atlas\equipbeastsoul.assetbundle","50","16","icon-catalog.csv"
"icon-3f e9 aa a6","objects-equipment","zhuangbeilingpo_lh_icon_cn","zhuangbeilingpo_lh_icon_cn__texture_v2_cn__en__equipbeastsoul__small_tex_all__dd79b64767.png","texture_v2_cn\en\equipbeastsoul\small_tex_all.assetbundle","56","68","icon-catalog.csv"
"icon-67 38 99 f0","objects-equipment","zhuangbeilingpo_lianhua_kuang","zhuangbeilingpo_lianhua_kuang__atlas__equipbeastsoul__0f376d284a.png","atlas\equipbeastsoul.assetbundle","87","87","icon-catalog.csv"
"icon-9d b4 5e 5f","objects-equipment","zhuangbeilingpo_lpzh_icon_cn","zhuangbeilingpo_lpzh_icon_cn__texture_v2_cn__en__equipbeastsoul__small_tex_all__6d29d8d437.png","texture_v2_cn\en\equipbeastsoul\small_tex_all.assetbundle","72","69","icon-catalog.csv"
"icon-a0 3e a9 bb","objects-equipment","zhuangbeilingpo_lpzl_icon_cn","zhuangbeilingpo_lpzl_icon_cn__texture_v2_cn__en__equipbeastsoul__small_tex_all__633823db99.png","texture_v2_cn\en\equipbeastsoul\small_tex_all.assetbundle","76","69","icon-catalog.csv"
"icon-65 56 d7 91","objects-equipment","zhuangbeilingpo_xia_kuang","zhuangbeilingpo_xia_kuang__atlas__equipbeastsoul__2c88f99a4a.png","atlas\equipbeastsoul.assetbundle","110","116","icon-catalog.csv"
"icon-67 25 77 48","objects-equipment","zhuangbeilingpo_xia_kuang_xz","zhuangbeilingpo_xia_kuang_xz__atlas__equipbeastsoul__34436c95f5.png","atlas\equipbeastsoul.assetbundle","116","124","icon-catalog.csv"
"icon-71 09 7c 00","objects-equipment","zhuangbeilingpo_xian_liang","zhuangbeilingpo_xian_liang__atlas__equipbeastsoul__f0aa3aa16c.png","atlas\equipbeastsoul.assetbundle","34","12","icon-catalog.csv"
"icon-e3 93 fa b7","objects-equipment","zhuangbeilingpo_yimanji_cn","zhuangbeilingpo_yimanji_cn__texture_v2_cn__en__equipbeastsoul__small_tex_all__c06257a6c1.png","texture_v2_cn\en\equipbeastsoul\small_tex_all.assetbundle","134","100","icon-catalog.csv"
"icon-e6 89 e7 9f","objects-equipment","zhuangbeilingpo_yuan_da","zhuangbeilingpo_yuan_da__atlas__equipbeastsoul__87577c5be5.png","atlas\equipbeastsoul.assetbundle","121","124","icon-catalog.csv"
"icon-87 19 22 cd","objects-equipment","zhuangbeilingpo_yuan_da_hui","zhuangbeilingpo_yuan_da_hui__atlas__equipbeastsoul__02ae0a98c9.png","atlas\equipbeastsoul.assetbundle","79","79","icon-catalog.csv"
"icon-0e 38 70 4e","objects-equipment","zhuangbeilingpo_yuan_da_xz","zhuangbeilingpo_yuan_da_xz__atlas__equipbeastsoul__f26c1afb3d.png","atlas\equipbeastsoul.assetbundle","117","115","icon-catalog.csv"
"icon-e1 3f c2 da","objects-equipment","zhuangbeilingpo_yuan_xiao","zhuangbeilingpo_yuan_xiao__atlas__equipbeastsoul__59f8611d5b.png","atlas\equipbeastsoul.assetbundle","65","65","icon-catalog.csv"
"icon-04 30 6a 0c","objects-equipment","zhuangbeilingpo_yuan_xiao_hui","zhuangbeilingpo_yuan_xiao_hui__atlas__equipbeastsoul__ed9901fc24.png","atlas\equipbeastsoul.assetbundle","53","53","icon-catalog.csv"
"icon-0b 05 04 09","objects-equipment","zhuangbeilingpo_yuan_xiao_xz","zhuangbeilingpo_yuan_xiao_xz__atlas__equipbeastsoul__8aeb09951b.png","atlas\equipbeastsoul.assetbundle","82","73","icon-catalog.csv"
"icon-d4 ec e6 0a","objects-equipment","zhuangbeilingpo_zhanli_bg_9s","zhuangbeilingpo_zhanli_bg_9s__atlas__equipbeastsoul__72256770ed.png","atlas\equipbeastsoul.assetbundle","317","22","icon-catalog.csv"
"icon-a0 8c 96 e6","objects-equipment","zhuangbeiqianzhui_cuiweimijing_btn_cn","zhuangbeiqianzhui_cuiweimijing_btn_cn__texture_v2_cn__en__equip__small_tex_all__b4a72b70e3.png","texture_v2_cn\en\equip\small_tex_all.assetbundle","61","70","icon-catalog.csv"
"icon-1e 26 e3 89","objects-equipment","zhuangbeiqianzhui_jiaoyihang_btn_cn","zhuangbeiqianzhui_jiaoyihang_btn_cn__texture_v2_cn__en__equip__small_tex_all__a9cf203e9b.png","texture_v2_cn\en\equip\small_tex_all.assetbundle","61","70","icon-catalog.csv"
"icon-d4 e3 43 08","objects-equipment","zhuangbeiqianzhui_zaohualianlu_btn_cn","zhuangbeiqianzhui_zaohualianlu_btn_cn__texture_v2_cn__en__equip__small_tex_all__86f9b732d7.png","texture_v2_cn\en\equip\small_tex_all.assetbundle","65","69","icon-catalog.csv"
"icon-1c 74 8a 2e","objects-equipment","zhujiemian_xiexian_bg","zhujiemian_xiexian_bg__atlas__equip__a93f3a8dbd.png","atlas\equip.assetbundle","50","50","icon-catalog.csv"
"icon-5c 6c 85 d8","outfits-fashion","bingkuaikuang","bingkuaikuang__atlas__careerfashion__367ede6d61.png","atlas\careerfashion.assetbundle","64","64","icon-catalog.csv"
"icon-57 a6 f6 9c","outfits-fashion","boss_xian_icon_9S","boss_xian_icon_9S__atlas__fairyfashionpass__f763762637.png","atlas\fairyfashionpass.assetbundle","132","8","icon-catalog.csv"
"icon-a3 45 c5 33","outfits-fashion","duiwu_jiahao_icon","duiwu_jiahao_icon__atlas__careerfashion__d07c604948.png","atlas\careerfashion.assetbundle","57","57","icon-catalog.csv"
"icon-1e 3c 6a 18","outfits-fashion","highLight_1","highLight_1__atlas__careerfashion__9447f863d9.png","atlas\careerfashion.assetbundle","74","74","icon-catalog.csv"
"icon-8a 5f 46 51","outfits-fashion","highLight_2","highLight_2__atlas__careerfashion__3750eafbdd.png","atlas\careerfashion.assetbundle","74","74","icon-catalog.csv"
"icon-19 2b 61 b7","outfits-fashion","highLight_3","highLight_3__atlas__careerfashion__493f19de19.png","atlas\careerfashion.assetbundle","74","74","icon-catalog.csv"
"icon-3a af c6 a9","outfits-fashion","hongyuinbaojuan_btn_di","hongyuinbaojuan_btn_di__atlas__newfashionlottery__3a63db5733.png","atlas\newfashionlottery.assetbundle","94","94","icon-catalog.csv"
"icon-e9 ed 49 fe","outfits-fashion","jingximanghe_chendi_9S","jingximanghe_chendi_9S__atlas__newfashionlottery__b2328dfc07.png","atlas\newfashionlottery.assetbundle","72","25","icon-catalog.csv"
"icon-e9 00 5e 44","outfits-fashion","jingximanghe_wenzi01_bg","jingximanghe_wenzi01_bg__atlas__newfashionlottery__79ac5addda.png","atlas\newfashionlottery.assetbundle","492","52","icon-catalog.csv"
"icon-61 72 b6 7c","outfits-fashion","jingximanghe_wenzi01_bg","jingximanghe_wenzi01_bg__atlas__fashionlottery__cb7b20b2d5.png","atlas\fashionlottery.assetbundle","492","52","icon-catalog.csv"
"icon-6f 55 cc 92","outfits-fashion","mingwenxingtu_kuaisutongguan_icon_cn","mingwenxingtu_kuaisutongguan_icon_cn__texture_v2_cn__en__careerfashion__small_tex_all__896a920913.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","84","84","icon-catalog.csv"
"icon-fc 05 3a e8","outfits-fashion","mingwenxingtu_liebiao_bg","mingwenxingtu_liebiao_bg__atlas__careerfashion__6ca9fc380c.png","atlas\careerfashion.assetbundle","166","206","icon-catalog.csv"
"icon-13 55 7d cf","outfits-fashion","mingwenxingtu_wenandi_bg","mingwenxingtu_wenandi_bg__atlas__careerfashion__2da8e4a82c.png","atlas\careerfashion.assetbundle","186","15","icon-catalog.csv"
"icon-d9 3c d2 e2","outfits-fashion","mingwenxingtu_yijianxiexia_icon_cn","mingwenxingtu_yijianxiexia_icon_cn__texture_v2_cn__en__careerfashion__small_tex_all__22e5f8bdbb.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","84","84","icon-catalog.csv"
"icon-e5 d2 35 cf","outfits-fashion","mingwenxingtu_zhuangshidi_bg","mingwenxingtu_zhuangshidi_bg__atlas__careerfashion__fc5831f389.png","atlas\careerfashion.assetbundle","293","222","icon-catalog.csv"
"icon-93 75 d2 31","outfits-fashion","mingwenyuanxing","mingwenyuanxing__atlas__careerfashion__7eaa0f0c56.png","atlas\careerfashion.assetbundle","111","111","icon-catalog.csv"
"icon-c5 86 0b 98","outfits-fashion","shengxiao_jianyingtubiao1_bg","shengxiao_jianyingtubiao1_bg__atlas__careerfashion__8eae176727.png","atlas\careerfashion.assetbundle","36","49","icon-catalog.csv"
"icon-94 88 cd a6","outfits-fashion","shengxiao_jianyingtubiao2_bg","shengxiao_jianyingtubiao2_bg__atlas__careerfashion__26b61885ce.png","atlas\careerfashion.assetbundle","46","63","icon-catalog.csv"
"icon-e9 a7 71 48","outfits-fashion","shengxiao_shuxingzonglan_icon_cn","shengxiao_shuxingzonglan_icon_cn__texture_v2_cn__en__careerfashion__small_tex_all__874fcefa7e.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","75","70","icon-catalog.csv"
"icon-fb 4e de 2d","outfits-fashion","shengxiao_taozhuangyulan_icon_cn","shengxiao_taozhuangyulan_icon_cn__texture_v2_cn__en__careerfashion__small_tex_all__2b59062148.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","72","70","icon-catalog.csv"
"icon-d7 0b 26 a9","outfits-fashion","shengxiao_tubiaodi_babianxing_bg","shengxiao_tubiaodi_babianxing_bg__atlas__careerfashion__01a3b5d99d.png","atlas\careerfashion.assetbundle","127","127","icon-catalog.csv"
"icon-40 e4 58 c2","outfits-fashion","shengxiao_tubiaodi_bg","shengxiao_tubiaodi_bg__atlas__careerfashion__c2a27cb702.png","atlas\careerfashion.assetbundle","98","111","icon-catalog.csv"
"icon-8f 46 a1 d8","outfits-fashion","shengxiao_zhizunhuanhua_cn","shengxiao_zhizunhuanhua_cn__texture_v2_cn__en__careerfashion__small_tex_all__d80eb2d1f9.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","75","70","icon-catalog.csv"
"icon-fc 98 35 18","outfits-fashion","shengxiao_zhuangbeironglian_icon_cn","shengxiao_zhuangbeironglian_icon_cn__texture_v2_cn__en__careerfashion__small_tex_all__357315b017.png","texture_v2_cn\en\careerfashion\small_tex_all.assetbundle","75","70","icon-catalog.csv"
"icon-e7 a0 21 0e","outfits-fashion","shizhuangchoujiang_btn_di","shizhuangchoujiang_btn_di__atlas__fashionlottery__cd3f0a427d.png","atlas\fashionlottery.assetbundle","78","78","icon-catalog.csv"
"icon-d6 78 1d a1","outfits-fashion","shizhuangchoujiang_btn_di","shizhuangchoujiang_btn_di__atlas__newfashionlottery__1bf6ddc766.png","atlas\newfashionlottery.assetbundle","78","78","icon-catalog.csv"
"icon-90 93 50 3d","outfits-fashion","shizhuangchoujiang_cishu_bg","shizhuangchoujiang_cishu_bg__atlas__newfashionlottery__52c0553b74.png","atlas\newfashionlottery.assetbundle","101","101","icon-catalog.csv"
"icon-c4 ec e3 72","outfits-fashion","shizhuangchoujiang_dagou_icon","shizhuangchoujiang_dagou_icon__atlas__newfashionlottery__0f8cd75d59.png","atlas\newfashionlottery.assetbundle","36","28","icon-catalog.csv"
"icon-bf 9c fa d0","outfits-fashion","shizhuangchoujiang_dagou_icon","shizhuangchoujiang_dagou_icon__atlas__fashionlottery__76436161d4.png","atlas\fashionlottery.assetbundle","36","28","icon-catalog.csv"
"icon-a6 fc 4c 8f","outfits-fashion","shizhuangchoujiang_frame_bg","shizhuangchoujiang_frame_bg__atlas__newfashionlottery__c01af87d23.png","atlas\newfashionlottery.assetbundle","110","114","icon-catalog.csv"
"icon-e3 df fb 4e","outfits-fashion","shizhuangchoujiang_jiantou_icon","shizhuangchoujiang_jiantou_icon__atlas__newfashionlottery__98e93bf03f.png","atlas\newfashionlottery.assetbundle","27","41","icon-catalog.csv"
"icon-6b f6 57 d5","outfits-fashion","shizhuangchoujiang_jiantou_light_bg","shizhuangchoujiang_jiantou_light_bg__atlas__fashionlottery__a1918826f1.png","atlas\fashionlottery.assetbundle","52","28","icon-catalog.csv"
"icon-c5 89 b4 40","outfits-fashion","shizhuangchoujiang_jiantou_light_bg","shizhuangchoujiang_jiantou_light_bg__atlas__newfashionlottery__adafdf8dc6.png","atlas\newfashionlottery.assetbundle","52","28","icon-catalog.csv"
"icon-1e c0 ef 8e","outfits-fashion","shizhuangchoujiang_jiantou_light1_H3S","shizhuangchoujiang_jiantou_light1_H3S__atlas__newfashionlottery__385da4a505.png","atlas\newfashionlottery.assetbundle","18","22","icon-catalog.csv"
"icon-d4 78 d2 8d","outfits-fashion","shizhuangchoujiang_jiantou_normal_H3S","shizhuangchoujiang_jiantou_normal_H3S__atlas__newfashionlottery__4451234be4.png","atlas\newfashionlottery.assetbundle","18","22","icon-catalog.csv"
"icon-f9 57 2f 3b","outfits-fashion","shizhuangchoujiang_liebiao_9S","shizhuangchoujiang_liebiao_9S__atlas__newfashionlottery__2a67913027.png","atlas\newfashionlottery.assetbundle","58","6","icon-catalog.csv"
"icon-00 bd 49 41","outfits-fashion","shizhuangchoujiang_liebiao_9S","shizhuangchoujiang_liebiao_9S__atlas__fashionlottery__9b0d95f0e9.png","atlas\fashionlottery.assetbundle","58","6","icon-catalog.csv"
"icon-dd 23 a8 3f","outfits-fashion","shizhuangchoujiang_tubiao_light_bg","shizhuangchoujiang_tubiao_light_bg__atlas__fashionlottery__a935e7fc7a.png","atlas\fashionlottery.assetbundle","102","102","icon-catalog.csv"
"icon-75 da 95 5b","outfits-fashion","shizhuangchoujiang_tubiao_light_bg","shizhuangchoujiang_tubiao_light_bg__atlas__newfashionlottery__0d659e405b.png","atlas\newfashionlottery.assetbundle","102","102","icon-catalog.csv"
"icon-e3 70 61 88","outfits-fashion","shizhuangchoujiang_tubiao_light1_bg","shizhuangchoujiang_tubiao_light1_bg__atlas__newfashionlottery__e61f320a4c.png","atlas\newfashionlottery.assetbundle","84","84","icon-catalog.csv"
"icon-c1 a9 aa b9","outfits-fashion","shizhuangchoujiang_tubiao_normal_bg","shizhuangchoujiang_tubiao_normal_bg__atlas__fashionlottery__68b7af849c.png","atlas\fashionlottery.assetbundle","84","84","icon-catalog.csv"
"icon-12 42 15 f2","outfits-fashion","shizhuangchoujiang_tubiao_normal_bg","shizhuangchoujiang_tubiao_normal_bg__atlas__newfashionlottery__1f8f196f1e.png","atlas\newfashionlottery.assetbundle","84","84","icon-catalog.csv"
"icon-f7 09 a7 67","outfits-fashion","shizhuangchoujiang_zhuanhuan_icon","shizhuangchoujiang_zhuanhuan_icon__atlas__newfashionlottery__a2465cd58d.png","atlas\newfashionlottery.assetbundle","28","29","icon-catalog.csv"
"icon-d3 c9 ea 2c","outfits-fashion","shizhuangchoujiang_zhuanhuan_icon","shizhuangchoujiang_zhuanhuan_icon__atlas__fashionlottery__516aa3a745.png","atlas\fashionlottery.assetbundle","28","22","icon-catalog.csv"
"icon-b7 37 02 5e","outfits-fashion","shizhuangchoujiang_zhuanhuan_icon 1","shizhuangchoujiang_zhuanhuan_icon_1__atlas__newfashionlottery__bbd6e2bce2.png","atlas\newfashionlottery.assetbundle","28","22","icon-catalog.csv"
"icon-f8 21 54 27","outfits-fashion","shizhuangtongxingzheng_biaoti_cn","shizhuangtongxingzheng_biaoti_cn__texture_v2_cn__en__fairyfashionpass__small_tex_all__25241b319c.png","texture_v2_cn\en\fairyfashionpass\small_tex_all.assetbundle","444","118","icon-catalog.csv"
"icon-a8 f7 f1 30","outfits-fashion","shizhuangtongxingzheng_biaoti_cn","shizhuangtongxingzheng_biaoti_cn__texture_v2_cn__en__emotionfashionpass__small_tex_all__8a6e8faa28.png","texture_v2_cn\en\emotionfashionpass\small_tex_all.assetbundle","444","118","icon-catalog.csv"
"icon-71 de 27 c1","outfits-fashion","shizhuangtongxingzheng_biaotou_bg","shizhuangtongxingzheng_biaotou_bg__atlas__fairyfashionpass__054b58ff2a.png","atlas\fairyfashionpass.assetbundle","152","469","icon-catalog.csv"
"icon-2e 79 60 09","outfits-fashion","shizhuangtongxingzheng_dengjidi_bg","shizhuangtongxingzheng_dengjidi_bg__atlas__fairyfashionpass__2e03abe544.png","atlas\fairyfashionpass.assetbundle","74","74","icon-catalog.csv"
"icon-a7 62 9a 70","outfits-fashion","shizhuangtongxingzheng_diban1_bg","shizhuangtongxingzheng_diban1_bg__atlas__fairyfashionpass__14c97f7ec3.png","atlas\fairyfashionpass.assetbundle","117","438","icon-catalog.csv"
"icon-fa 62 5e eb","outfits-fashion","shizhuangtongxingzheng_diban2_bg","shizhuangtongxingzheng_diban2_bg__atlas__fairyfashionpass__7c382893c7.png","atlas\fairyfashionpass.assetbundle","128","471","icon-catalog.csv"
"icon-91 69 ef 39","outfits-fashion","shizhuangtongxingzheng_qipao_h3s","shizhuangtongxingzheng_qipao_h3s__atlas__fairyfashionpass__952723ba52.png","atlas\fairyfashionpass.assetbundle","64","56","icon-catalog.csv"
"icon-69 7e 69 68","outfits-fashion","shizhuangtongxingzheng_qipao_h3s","shizhuangtongxingzheng_qipao_h3s__atlas__emotionfashionpass__8e38c202bf.png","atlas\emotionfashionpass.assetbundle","64","56","icon-catalog.csv"
"icon-3a 35 79 a5","outfits-fashion","shizhuangtongxingzheng_qy_dengjidi_bg","shizhuangtongxingzheng_qy_dengjidi_bg__atlas__emotionfashionpass__7301f64c2c.png","atlas\emotionfashionpass.assetbundle","74","74","icon-catalog.csv"
"icon-b7 f4 6b 62","outfits-fashion","shizhuangtongxingzheng_qy_diban1_bg","shizhuangtongxingzheng_qy_diban1_bg__atlas__emotionfashionpass__6da0272ab8.png","atlas\emotionfashionpass.assetbundle","117","438","icon-catalog.csv"
"icon-45 4d d7 b9","outfits-fashion","shizhuangtongxingzheng_qy_diban2_bg","shizhuangtongxingzheng_qy_diban2_bg__atlas__emotionfashionpass__452c5de44b.png","atlas\emotionfashionpass.assetbundle","128","471","icon-catalog.csv"
"icon-1c 38 1b 21","outfits-fashion","shizhuangtongxingzheng_qy-biaotou_bg","shizhuangtongxingzheng_qy-biaotou_bg__atlas__emotionfashionpass__656bf09f85.png","atlas\emotionfashionpass.assetbundle","178","469","icon-catalog.csv"
"icon-78 2a 7c c5","outfits-fashion","shizhuangtongxingzheng_suo","shizhuangtongxingzheng_suo__atlas__emotionfashionpass__871b88186b.png","atlas\emotionfashionpass.assetbundle","24","24","icon-catalog.csv"
"icon-cb 81 60 7e","outfits-fashion","shizhuangtongxingzheng_suo","shizhuangtongxingzheng_suo__atlas__fairyfashionpass__3f46b7b068.png","atlas\fairyfashionpass.assetbundle","24","24","icon-catalog.csv"
"icon-0f 9a 4f eb","outfits-fashion","shizhuangtongxingzheng_suo2","shizhuangtongxingzheng_suo2__atlas__emotionfashionpass__cd5ed88a14.png","atlas\emotionfashionpass.assetbundle","43","43","icon-catalog.csv"
"icon-72 b5 57 f1","outfits-fashion","shizhuangtongxingzheng_suo2","shizhuangtongxingzheng_suo2__atlas__fairyfashionpass__69c0823093.png","atlas\fairyfashionpass.assetbundle","43","43","icon-catalog.csv"
"icon-fa 96 13 46","outfits-fashion","shizhuangtongxingzheng_xian_icon_9S","shizhuangtongxingzheng_xian_icon_9S__atlas__fairyfashionpass__f48cbc9cc4.png","atlas\fairyfashionpass.assetbundle","132","8","icon-catalog.csv"
"icon-50 fc 88 80","outfits-fashion","shizhuangtongxingzheng_xian_icon_9S","shizhuangtongxingzheng_xian_icon_9S__atlas__emotionfashionpass__e2d9dd7b15.png","atlas\emotionfashionpass.assetbundle","132","8","icon-catalog.csv"
"icon-72 51 00 c6","outfits-fashion","shizhuangtongxingzheng_xuanzhong_9s","shizhuangtongxingzheng_xuanzhong_9s__atlas__fairyfashionpass__3936ee8b29.png","atlas\fairyfashionpass.assetbundle","42","42","icon-catalog.csv"
"icon-81 0b 03 44","outfits-fashion","shizhuangtongxingzheng_xuanzhong_9s","shizhuangtongxingzheng_xuanzhong_9s__atlas__emotionfashionpass__e4351d7fea.png","atlas\emotionfashionpass.assetbundle","35","35","icon-catalog.csv"
"icon-1d 8a c6 06","outfits-fashion","shizhuangtongxingzheng_xuanzhong_9s","shizhuangtongxingzheng_xuanzhong_9s__atlas__sacredfashionpass__d12b6a2225.png","atlas\sacredfashionpass.assetbundle","42","42","icon-catalog.csv"
"icon-65 71 c0 3b","outfits-fashion","shouqijiantou","shouqijiantou__atlas__careerfashion__eb66886c95.png","atlas\careerfashion.assetbundle","34","48","icon-catalog.csv"
"icon-e7 aa b1 7e","outfits-fashion","swtxz_cishu02_bg_H3S","swtxz_cishu02_bg_H3S__atlas__sacredfashionpass__e0747ce87e.png","atlas\sacredfashionpass.assetbundle","70","24","icon-catalog.csv"
"icon-53 55 5d 83","outfits-fashion","swtxz_dengji_bg","swtxz_dengji_bg__atlas__sacredfashionpass__94c9a1b77c.png","atlas\sacredfashionpass.assetbundle","136","372","icon-catalog.csv"
"icon-7a 39 c5 00","outfits-fashion","swtxz_fanli_bg","swtxz_fanli_bg__atlas__sacredfashionpass__467dafe82e.png","atlas\sacredfashionpass.assetbundle","113","72","icon-catalog.csv"
"icon-34 1b 75 1d","outfits-fashion","swtxz_icon_bg","swtxz_icon_bg__atlas__sacredfashionpass__70c7fa2ff7.png","atlas\sacredfashionpass.assetbundle","100","350","icon-catalog.csv"
"icon-0e 2c 04 35","outfits-fashion","swtxz_icon02_bg","swtxz_icon02_bg__atlas__sacredfashionpass__1416188f67.png","atlas\sacredfashionpass.assetbundle","136","418","icon-catalog.csv"
"icon-a1 ac 2e 26","outfits-fashion","swtxz_icon1_bg","swtxz_icon1_bg__atlas__sacredfashionpass__25d5475cda.png","atlas\sacredfashionpass.assetbundle","100","350","icon-catalog.csv"
"icon-92 f3 c4 87","outfits-fashion","swtxz_jindu_dian_bg","swtxz_jindu_dian_bg__atlas__sacredfashionpass__f01f0902ef.png","atlas\sacredfashionpass.assetbundle","20","20","icon-catalog.csv"
"icon-ab 19 58 f8","outfits-fashion","swtxz_jindu_hei_bg_H3S","swtxz_jindu_hei_bg_H3S__atlas__sacredfashionpass__aebb52a977.png","atlas\sacredfashionpass.assetbundle","16","10","icon-catalog.csv"
"icon-4b 03 1a 47","outfits-fashion","swtxz_jindu_huang_bg_H3S","swtxz_jindu_huang_bg_H3S__atlas__sacredfashionpass__05530f8ade.png","atlas\sacredfashionpass.assetbundle","20","6","icon-catalog.csv"
"icon-e9 28 c7 e6","outfits-fashion","swtxz_shenwu_cheng_bg","swtxz_shenwu_cheng_bg__atlas__sacredfashionpass__ad0c24fafa.png","atlas\sacredfashionpass.assetbundle","68","68","icon-catalog.csv"
"icon-17 bf 92 2d","outfits-fashion","swtxz_shenwu_zi_bg","swtxz_shenwu_zi_bg__atlas__sacredfashionpass__ede3d2b47d.png","atlas\sacredfashionpass.assetbundle","66","64","icon-catalog.csv"
"icon-46 04 c4 b1","outfits-fashion","swtxz_suo_bg","swtxz_suo_bg__atlas__sacredfashionpass__dcb567414a.png","atlas\sacredfashionpass.assetbundle","24","24","icon-catalog.csv"
"icon-f0 b9 22 5c","outfits-fashion","swtxz_wenzidiban_bg_H3S","swtxz_wenzidiban_bg_H3S__atlas__sacredfashionpass__0baef0394c.png","atlas\sacredfashionpass.assetbundle","252","30","icon-catalog.csv"
"icon-ff de 37 4c","outfits-fashion","swtxz_xuanyu_cheng_bg","swtxz_xuanyu_cheng_bg__atlas__sacredfashionpass__078789c1cb.png","atlas\sacredfashionpass.assetbundle","63","64","icon-catalog.csv"
"icon-57 bf 8e 68","outfits-fashion","swtxz_zhuangbei_cheng_bg","swtxz_zhuangbei_cheng_bg__atlas__sacredfashionpass__df77dd00e5.png","atlas\sacredfashionpass.assetbundle","68","66","icon-catalog.csv"
"icon-ae 6c d5 93","outfits-fashion","swtxz_zhuangbei_zi_bg","swtxz_zhuangbei_zi_bg__atlas__sacredfashionpass__1f39982297.png","atlas\sacredfashionpass.assetbundle","64","63","icon-catalog.csv"
"icon-78 55 5c 8b","outfits-fashion","swtxz_zi_cheng_bg","swtxz_zi_cheng_bg__atlas__sacredfashionpass__182dde3e5a.png","atlas\sacredfashionpass.assetbundle","60","61","icon-catalog.csv"
"icon-4c 03 3c 11","outfits-fashion","tiancinichang_bar_01","tiancinichang_bar_01__atlas__fashionlottery__6decca3f99.png","atlas\fashionlottery.assetbundle","106","30","icon-catalog.csv"
"icon-2b 0d 1b 9b","outfits-fashion","tiancinichang_bar_01","tiancinichang_bar_01__atlas__newfashionlottery__93988b2fc0.png","atlas\newfashionlottery.assetbundle","106","30","icon-catalog.csv"
"icon-a1 5a fb 0f","outfits-fashion","tiancinichang_bar_02","tiancinichang_bar_02__atlas__newfashionlottery__17fb7b9a8a.png","atlas\newfashionlottery.assetbundle","106","106","icon-catalog.csv"
"icon-ee a6 73 d4","outfits-fashion","tiancinichang_bar_02","tiancinichang_bar_02__atlas__fashionlottery__659121f76d.png","atlas\fashionlottery.assetbundle","106","106","icon-catalog.csv"
"icon-f8 79 d6 7a","outfits-fashion","tiancinichang_cishu01_bg","tiancinichang_cishu01_bg__atlas__newfashionlottery__8e921cdeac.png","atlas\newfashionlottery.assetbundle","58","58","icon-catalog.csv"
"icon-ea a3 4c e6","outfits-fashion","tiancinichang_cishu01_bg","tiancinichang_cishu01_bg__atlas__fashionlottery__8cc7838c8d.png","atlas\fashionlottery.assetbundle","58","58","icon-catalog.csv"
"icon-9f 69 aa 1f","outfits-fashion","tiancinichang_cishu02_bg","tiancinichang_cishu02_bg__atlas__fashionlottery__4c921994bd.png","atlas\fashionlottery.assetbundle","66","66","icon-catalog.csv"
"icon-d3 00 f4 6b","outfits-fashion","tiancinichang_cishu02_bg","tiancinichang_cishu02_bg__atlas__newfashionlottery__2cc83bbf6b.png","atlas\newfashionlottery.assetbundle","66","66","icon-catalog.csv"
"icon-8d b1 2c 5c","outfits-fashion","tiancinichang_cishu03_bg","tiancinichang_cishu03_bg__atlas__newfashionlottery__44c69d7147.png","atlas\newfashionlottery.assetbundle","94","92","icon-catalog.csv"
"icon-e5 a1 9d e5","outfits-fashion","tiancinichang_cishu03_bg","tiancinichang_cishu03_bg__atlas__fashionlottery__7b9e0e08bd.png","atlas\fashionlottery.assetbundle","94","92","icon-catalog.csv"
"icon-18 c8 44 c8","outfits-fashion","tiancinichang_zhezhao_bg_S3S","tiancinichang_zhezhao_bg_S3S__atlas__newfashionlottery__3b6f110b93.png","atlas\newfashionlottery.assetbundle","294","22","icon-catalog.csv"
"icon-15 fe 4c 0a","outfits-fashion","tiancinichang_zhezhao_bg_S3S","tiancinichang_zhezhao_bg_S3S__atlas__fashionlottery__45df7341d0.png","atlas\fashionlottery.assetbundle","294","22","icon-catalog.csv"
"icon-84 e8 ce 32","outfits-fashion","xingtukuang1","xingtukuang1__atlas__careerfashion__cf68395a5c.png","atlas\careerfashion.assetbundle","74","74","icon-catalog.csv"
"icon-1f b5 42 04","outfits-fashion","xingtukuang2","xingtukuang2__atlas__careerfashion__9234826ecc.png","atlas\careerfashion.assetbundle","74","74","icon-catalog.csv"
